기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요
20170101,20170101,예전에 살던동네에 악질적인 사기꾼 여자가 하나 있었다 우린  그 여자가   너무나 악랄하고 사기수법이 추악해서  그여자를 개같은 년이라고  온동네가 욕을 했다 그러자  동네개들이  난리가 났다  왜 자기들과 같이 취급하느냐고 개들이 밤새  짖어 되었다 그래서 우리는   그 여자를  쥐새기보다 더 나쁜년이라고  다시 불렀다,659,19
20170101,20161231,이시국에 떡국이 목에 넘어가냐,257,17
20170101,20161231,사약을내려라,151,11
20170101,20161231,과연..참모들은 아침에먹을수 있으까 머리하는데2시간.. 프로포폴 맞는데 2시간 모닝푸다꺼리 1시간ㅎㅎ 점심때나..떡국먹게되껄,205,13
20170101,20161231,떡국이 아깝다.,979,37
20170101,20161231,이판국에 떡국이 넘어가냐? 허긴  생각없는 인간이 뭔들 못하겠냐~~~,350,14
20170101,20161231,내 돈이 저런데 쓰이는게 정말 분통 터진다...지난 4년간 나라를 작살내고 아직도 그 자리에 있고 싶을까?,605,22
20170101,20161231,저 미친년은 혼밥인데. 웬 같이코스프레..,152,12
20170101,20161231,먹고는 사는구나 목구멍에 밥넘어가는구나,4618,120
20170101,20161231,넘어가나? 수석이며 비서관이며 포승줄에 묶인 모습 보면?,306,17
20170101,20161231,떡국에 닭 육수가 최고,254,15
20170101,20161231,징 하 다 ~~~  아 직 도 헌재에서 탄핵 기각 되게 하려고 힘 쓰고 있겠지...  ..,1035,33
20170101,20161231,아직도 대통령 행세를   하고 예우를 받나?  박근혜에게 새해 인사 드립니다.  새해 벌   많이 받으세요 새해 벌 많이 받으세요 세해 벌 많이 받으세요,5731,176
20170101,떡국이 아가리 쳐들어가냐?? 국민들 생각하고 ??,,152,11
20170101,20161231,떡국이 목구멍으로 넘어가냐?,823,30
20170101,20161231,많이 잡수세요 내년엔 감옥에서 드실테니..,311,20
20170101,20161231,대한민국의수치,1014,35
20170101,20161231,역사에 길이빛날 반면교사. 새해 벌많이 받으소서.,292,18
20170101,20161231,연합찌라시 이런기사 관심없다. 기사 쓰지마.,3795,108
20170101,20161231,떡을 좋아하는구나. 7시간 동안 떡을 몇번 먹어쓰까?,150,12
20170101,20161231,어제 연기대상은 재밌게 보셨는지^^,258,16
20170101,20170101,아~~~~누가. 제발.  이사람 좀!,4053,146
20170101,20170101,"정신감정이 필요한거같다. 박근혜는,,,,,,,,,,,,,,",3152,110
20170101,20170101,박근혜 신속한 탄핵심판 완료후 구속이 안정 되는길,956,44
20170101,20170101,안 봤으면 하는 얼굴이 나왔네?,745,36
20170101,20170101,얼굴보소 ㅎㅎ,292,30
20170101,20170101,아 ㅆㅂ 신년 벽두 부터 재수 없는 면상을 봤네....,1251,51
20170101,20170101,쟤는 왜 나왔지?,1134,51
20170101,20170101,참 역겹고 드럽고 뻔뻔하고 마귀같은 얼굴,1202,53
20170101,20170101,금단현상....,170,19
20170101,20170101,저얼굴 색깔또왜저래? 주사아직도맞나? 쯧쯧,146,18
20170101,20170101,ㅁㅊㄴ 댓글도 아깝다,308,32
20170101,20170101,유체이탈 화법은 여전하구만... 새해부터 저런 정신나간 소리를 들어야겠니?,191,19
20170101,20170101,사람 죽여놓고 잘 사시길..이런꼴 아닌가?,3477,139
20170101,20170101,당신만 얼른 퇴진하면 나라는 안정됩니다,1428,56
20170101,20170101,보기싫은데 자꾸 들이미네  빨리 쫌 내려오게 해주세요 헌재~,258,30
20170101,20170101,육절기에 밀어넣고싶다,324,33
20170101,20170101,신년인사회는 개뿔!!  (병)신년 변명회였지~~,373,35
20170101,20170101,새해 첫날부터 재수없게  저 무식한*은 왜나와 지랄이야 드라마나 처보고 앉아있지,454,37
20170101,20170101,세상에나...,854,48
20170101,20170101,시리가 주사 안주니까 팍  늙엇네.그게  그 나이 얼굴이지요. 나이답게 사세오.그리고 빨리  내려오셔요.,149,19
20170101,20170101,입이 오도방정 야 인격 비하발언이네..넘 심하네요 모욕죄네,2628,75
20170101,20170101,"절제, 타인에 대한 배려가 없지. 언제나 그랬는데...",2614,67
20170101,20170101,노력하지말고 진행은 그만둬라. 맞지 않는옷 더이상 입지마라!,1104,30
20170101,20170101,쉽게  안 고쳐집니다 ~~,2982,74
20170101,20170101,저렇게 수준 떨어지는 이휘재를 왜 쓰는거지? ... 이휘재는 그냥 딱 나이트 사회자 깜,1496,40
20170101,20170101,능력이 없는거지..,2947,85
20170101,20170101,걍 나오지마..........재수없다.....,2370,84
20170101,20170101,한심한녀석 sbs 2016년을 박살내버렸네.. 수많은 연예인격을 니가 심하게 떨어뜨렸는대 너만 모르고 주접떨었어 ..,665,19
20170101,20170101,어제가 마지막 진행이었기를 진심으로 바랍니다,988,30
20170101,20170101,내가 보았를때 그건 질환 병이라고 하는 겁니다!,2225,66
20170101,20170101,"이휘재는 외모빨로 여기까지 온듯 늘 웃음코드가 다른 사람 까기, 폭로밖에 없음 평생 웃긴적 없는 개그맨인데 자꾸 나오는게 신기했음 남희석씨가 훨 나은데",1211,38
20170101,20170101,책 좀 읽어라 신문도보고,744,20
20170101,20170101,잘못인정했으니. 방송하차하고 쉬어라. 국민이 너 보기 싫데잖아,1290,40
20170101,20170101,이미 저질러놓고 사과한들~ 엎질러진  물인데.. 걍 쉬어라 쭈욱,8873,380
20170101,20170101,그럼 고만하고 나오지마...,982,43
20170101,20170101,당신은 개그맨인가여 뭔가여 직업이 뭔가여??웃기지도않고 생각없이 내뱉고 당신 말한마디에 다른사람은 상처가  될수있어요~잘나가는 연예인들 좀쎈분들한테는 빌빌거리고 만만하면 꼬투리잡고 깐죽대고 넌모를거다ㅉㅉ  내가한번 이런일 터질줄알았다 진심으로ㅉㅉ 사람천성은 절대 못버리지 당신나오는 프로 당신이 보삼 안민망함?  앵글 시청자 관객돌아갈때 썩소 안보임 어느프로나 다동일해 보면 난그래서 항상 채널돌리지..,7464,282
20170101,20170101,주면 또 할모양이네....... 망할자식,1137,37
20170101,20170101,계속 나오신다는 이야기인가요?,990,34
20170101,20170101,왜그랬어... 아이들을 키우면서 겸손을 배우지 못하다니...,2152,64
20170101,20170101,슈퍼맨도 하차좀 하자  그만보고싶다 연말 큰 축제를 망치다니,1660,52
20170101,20170101,이 사람들.... 아직도 있어요?,116,4
20170101,20170101,최는 감방가야지.,259,3
20170101,20170101,그래 너희들 죽어야 새누리능이 존재한다!,240,7
20170101,20170101,니가 죽어라.,976,13
20170101,20170101,ㄹㅇ 죽여도됨?,676,12
20170101,20170101,그냥 죽어라  부역자들아,828,12
20170101,20170101,혀 깨물어라! 쓰레기 정치사기꾼 개색희야!,1121,18
20170101,20170101,양심이 뭔지도 모르는것들,287,6
20170101,20170101,그동안 잘 누렸지? 특권을 내려 놓기  아까워 죽겠나보군,316,5
20170101,20170101,정말 죽여줘도되니? ㅋㅋ 부탁만해 . 바로 실행해줄께,267,5
20170101,20170101,저 늙은이들 욕심은......  그 끝이 어디인가....  어느정도 해먹었으면 물러날 때를 알아야지.....,119,2
20170101,대표내시  이정현은  정계은퇴가 답이구...,최경환이는 활복이 답이구.... 서청원이는 어느 시대 인물인데 아직까지 살아있데? 동생두 사라져  줬으면하네... 윤상현이.... 나머지  떨박들두 함께...,126,4
20170101,20170101,다 죽어라. 덤으로 침도 뱉어줄께. 최경환 이 개××야!,117,2
20170101,20170101,혼자 스스로 뒈지면 안되겠니..? 죄없는 사람 살인자 만들지 말고..,1027,15
20170101,20170101,개쓰레기 집합소 친박 개무리당 이것들은 정상적인  인간이 아이다,926,14
20170101,20170101,혼이 비정상인 잉간들이 뭔들 제대로 할까?!,244,5
20170101,20170101,너를 죽여 나라를 살려라!  참으로 노욕에 가득한 친박수꼴,1103,15
